id,m_escape_flicking_map_id,x,y,type
1,1,1,1,5
2,1,1,2,5
3,1,1,3,5
4,1,1,4,5
5,1,1,5,5
6,1,1,6,5
7,1,1,7,5
8,1,1,8,9
9,1,1,9,9
10,1,1,10,5
11,1,1,11,5
12,1,1,12,5
13,1,1,13,5
14,1,1,14,5
15,1,1,15,5
16,1,1,16,5
17,1,1,17,5
18,1,1,18,5
19,1,1,19,5
20,1,1,20,5
21,1,1,21,5
22,1,1,22,5
23,1,1,23,5
24,1,1,24,5
25,1,1,25,5
26,1,1,26,5
27,1,1,27,5
28,1,1,28,5
29,1,1,29,5
30,1,1,30,5
31,1,1,31,5
32,1,1,32,5
33,1,1,33,5
34,1,1,34,5
35,1,1,35,5
36,1,1,36,5
37,1,1,37,5
38,1,1,38,5
39,1,1,39,5
40,1,1,40,5
41,1,1,41,5
42,1,1,42,5
43,1,1,43,5
44,1,1,44,5
45,1,1,45,5
46,1,1,46,5
47,1,1,47,5
48,1,1,48,5
49,1,1,49,5
50,1,1,50,9
51,1,1,51,9
52,1,1,52,5
53,1,1,53,5
54,1,1,54,5
55,1,1,55,5
56,1,1,56,5
57,1,1,57,5
58,1,1,58,5
59,1,2,1,5
60,1,2,16,5
61,1,2,34,5
62,1,2,58,5
63,1,3,1,5
64,1,3,16,5
65,1,3,34,5
66,1,3,58,5
67,1,4,1,5
68,1,4,4,5
69,1,4,5,5
70,1,4,6,5
71,1,4,7,5
72,1,4,10,5
73,1,4,11,5
74,1,4,12,5
75,1,4,13,5
76,1,4,16,5
77,1,4,19,5
78,1,4,20,5
79,1,4,21,5
80,1,4,22,5
81,1,4,25,5
82,1,4,28,5
83,1,4,29,5
84,1,4,30,5
85,1,4,31,5
86,1,4,34,5
87,1,4,37,5
88,1,4,40,5
89,1,4,43,5
90,1,4,44,5
91,1,4,45,5
92,1,4,46,5
93,1,4,49,5
94,1,4,50,5
95,1,4,51,5
96,1,4,52,5
97,1,4,53,5
98,1,4,54,5
99,1,4,55,5
100,1,4,58,5
101,1,5,1,5
102,1,5,4,5
103,1,5,7,5
104,1,5,10,5
105,1,5,13,5
106,1,5,16,5
107,1,5,25,5
108,1,5,28,5
109,1,5,37,5
110,1,5,40,5
111,1,5,43,5
112,1,5,46,5
113,1,5,49,5
114,1,5,58,5
115,1,6,1,5
116,1,6,4,5
117,1,6,7,5
118,1,6,10,5
119,1,6,13,5
120,1,6,16,5
121,1,6,25,5
122,1,6,28,5
123,1,6,37,5
124,1,6,40,5
125,1,6,43,5
126,1,6,46,5
127,1,6,49,5
128,1,6,58,5
129,1,7,1,5
130,1,7,4,5
131,1,7,5,5
132,1,7,6,5
133,1,7,7,5
134,1,7,10,5
135,1,7,11,5
136,1,7,12,5
137,1,7,13,5
138,1,7,16,5
139,1,7,19,5
140,1,7,20,5
141,1,7,21,5
142,1,7,22,5
143,1,7,23,5
144,1,7,24,5
145,1,7,25,5
146,1,7,28,5
147,1,7,31,5
148,1,7,32,5
149,1,7,33,5
150,1,7,34,5
151,1,7,35,5
152,1,7,36,5
153,1,7,37,5
154,1,7,40,5
155,1,7,43,5
156,1,7,46,5
157,1,7,49,5
158,1,7,52,5
159,1,7,53,5
160,1,7,54,5
161,1,7,55,5
162,1,7,56,5
163,1,7,57,5
164,1,7,58,5
165,1,8,1,5
166,1,8,43,5
167,1,8,46,5
168,1,8,58,5
169,1,9,1,5
170,1,9,43,5
171,1,9,46,5
172,1,9,58,5
173,1,10,1,5
174,1,10,4,5
175,1,10,5,5
176,1,10,6,5
177,1,10,7,5
178,1,10,10,5
179,1,10,13,5
180,1,10,14,5
181,1,10,15,5
182,1,10,16,5
183,1,10,17,5
184,1,10,18,5
185,1,10,19,5
186,1,10,22,5
187,1,10,25,5
188,1,10,26,5
189,1,10,27,5
190,1,10,28,5
191,1,10,29,5
192,1,10,30,5
193,1,10,31,5
194,1,10,34,5
195,1,10,37,5
196,1,10,38,5
197,1,10,39,5
198,1,10,40,5
199,1,10,43,5
200,1,10,44,5
201,1,10,45,5
202,1,10,46,5
203,1,10,49,5
204,1,10,50,5
205,1,10,51,5
206,1,10,52,5
207,1,10,53,5
208,1,10,54,5
209,1,10,55,5
210,1,10,58,5
211,1,11,1,5
212,1,11,10,5
213,1,11,16,5
214,1,11,22,5
215,1,11,34,5
216,1,11,40,5
217,1,11,55,5
218,1,11,58,5
219,1,12,1,5
220,1,12,10,5
221,1,12,16,5
222,1,12,22,5
223,1,12,34,5
224,1,12,40,5
225,1,12,55,5
226,1,12,58,5
227,1,13,1,5
228,1,13,4,5
229,1,13,5,5
230,1,13,6,5
231,1,13,7,5
232,1,13,10,5
233,1,13,11,5
234,1,13,12,5
235,1,13,13,5
236,1,13,16,5
237,1,13,19,5
238,1,13,20,5
239,1,13,21,5
240,1,13,22,5
241,1,13,25,5
242,1,13,28,5
243,1,13,29,5
244,1,13,30,5
245,1,13,31,5
246,1,13,34,5
247,1,13,35,5
248,1,13,36,5
249,1,13,37,5
250,1,13,40,5
251,1,13,43,5
252,1,13,44,5
253,1,13,45,5
254,1,13,46,5
255,1,13,49,5
256,1,13,50,5
257,1,13,51,5
258,1,13,52,5
259,1,13,55,5
260,1,13,58,5
261,1,14,1,5
262,1,14,7,5
263,1,14,10,5
264,1,14,22,5
265,1,14,25,5
266,1,14,31,5
267,1,14,34,5
268,1,14,46,5
269,1,14,52,5
270,1,14,55,5
271,1,14,58,5
272,1,15,1,5
273,1,15,7,5
274,1,15,10,5
275,1,15,22,5
276,1,15,25,5
277,1,15,31,5
278,1,15,34,5
279,1,15,46,5
280,1,15,52,5
281,1,15,55,5
282,1,15,58,5
283,1,16,1,5
284,1,16,2,5
285,1,16,3,5
286,1,16,4,5
287,1,16,7,5
288,1,16,10,5
289,1,16,13,5
290,1,16,14,5
291,1,16,15,5
292,1,16,16,5
293,1,16,17,5
294,1,16,18,5
295,1,16,19,5
296,1,16,22,5
297,1,16,25,5
298,1,16,26,5
299,1,16,27,5
300,1,16,28,5
301,1,16,31,5
302,1,16,34,5
303,1,16,37,5
304,1,16,38,5
305,1,16,39,5
306,1,16,40,5
307,1,16,41,5
308,1,16,42,5
309,1,16,43,5
310,1,16,46,5
311,1,16,47,5
312,1,16,48,5
313,1,16,49,5
314,1,16,52,5
315,1,16,55,5
316,1,16,58,5
317,1,17,1,5
318,1,17,25,5
319,1,17,37,5
320,1,17,43,5
321,1,17,58,5
322,1,18,1,5
323,1,18,25,5
324,1,18,37,5
325,1,18,43,5
326,1,18,58,5
327,1,19,1,5
328,1,19,4,5
329,1,19,5,5
330,1,19,6,5
331,1,19,7,5
332,1,19,10,5
333,1,19,11,5
334,1,19,12,5
335,1,19,13,5
336,1,19,14,5
337,1,19,15,5
338,1,19,16,5
339,1,19,17,5
340,1,19,18,5
341,1,19,19,5
342,1,19,22,5
343,1,19,25,5
344,1,19,28,5
345,1,19,29,5
346,1,19,30,5
347,1,19,31,5
348,1,19,34,5
349,1,19,37,5
350,1,19,38,5
351,1,19,39,5
352,1,19,40,5
353,1,19,41,5
354,1,19,42,5
355,1,19,43,5
356,1,19,46,5
357,1,19,49,5
358,1,19,50,5
